0,20,25
1,18,19
2,32,44
3,100,11
00,69,69
21234426,4,5
21234610,5,11
21235552,0,1
21235634,0,2
2124023,0,1
212427,0,1
2124226,2,9
212439,0,1
2124384,10,73
2125558,0,13
2126333,5,7
2126339,0,1
21261111,0,1
212181428,0,1
21218242,5,6
21218249,0,1
212182450,19,24
212182650,38,51
212183356,11,11
212184050,0,2
212184111,0,11
212184316,0,11
212184335,0,9
212184343,0,1
212184415,0,1
212184616,0,2
21218472,0,11
212192311,0,0
212192331,0,0
212192336,0,0
212193338,0,0
212193417,0,0
212193440,0,0
21219355,0,0
212193525,0,0
212193658,0,0
212194021,0,0
212194028,0,0
212201021,6,4
212201038,15,9
212204353,0,41
212204427,0,20
212211815,0,10
212211856,0,20
212211955,2,1
21221201,2,1
21221209,2,1
21221504,0,1
213161956,15,26
21316265,9,12
21317379,0,1
21318419,19,26
21318452,5,6
21318459,0,1
21318532,14,19
21318630,31,36
21318645,2,4
21318654,1,2
21318844,59,73
2131895,0,1
